79633: O, K D
54708: S, K C
33833: X, K B
29980: T, K D K
19328: V, K K F
19030: R Q, B C D
18901: R, K F
17424: Q, K K
16992: R W, C C C D C F D
15454: U, C K
15380: P Q, C C D
13827: P R, B K D K D
12859: Q T, B C D C F
12643: Q X, K F L
12287: W U, B C D C D
10641: P, D K
9110: T W, B C C D C F D
8709: X W, B B C D C F D
7332: R T, C C D C F
6307: O W, C C C D C F
6149: W, F K
5607: U W, K K K F F
5498: O T, C D C
4681: P P, K B J
4676: S P, K D K B J
4675: T X, K K D C F
4269: Q U, C K K D K D F
3911: S W, D K D K B J
3172: O S, K K D K B
3065: P V Q, C C C D C F D H
3025: Q V, B B C D
2962: P T, K K D K B J
2962: Q P P, L K F L K B
2960: U V, B B C D C F
2913: V T, K D K D K D
2696: W T, K D K D C F
2691: O P, K D K B
2453: S U, B K D K D C
2433: R U, K D C F K
2187: V Q, K D C F
2177: W X, K K F F B
2033: Q S, B C D C
1975: W V, B C C D C F
1946: Q R, K K D K D
1922: V W, C F D
1914: P T W, K K B L D L D H C K I C K C C C C D C F D F G D B K D K D J E B K C G J B K D K D M
1805: O R P, C C C D C F D F
1722: Q Q P, C C C D C F D K F D
1593: Q P, K D K D
1570: T P, D K B J
1507: U T, K K D K D F
1418: O U, C C D C
1333: U S, B C C D
1284: W S, K D K D F
1283: T R, K D K D C
1114: R V P, B B C D C F D F
1091: P V, C C D C F D
1026: W W, D K D K B
983: U U, D C F D
974: T V, C D C D
971: O V, C K K D K
960: W T P, C C D C F D K F D L B J
921: O Q R, K K F B L K F L K C G B B C D C D N J B C D C D K C H B J F K K F B K K D K C G B J J C K D K C H C J F B C D C D F F
906: S O P, C C C D C F D K F
878: T X P, K L F L K C G C K D K C H B J B C C D C F D N
846: P U, D K D K D
832: X R, D K D C
775: T U, C D C F D
753: Q W, B C C D C
710: X Q, K D K D K
679: U U P, C D C F D K F D L B J
677: P O P, C K K D K D F D
625: S P P, L K F L K
601: O R, D C F
600: V X, C C C D
596: R R P, K K F B K K D K C G B J J
589: S T, D C F K
570: P X, B C D C F D
564: V S, C D C F
558: S V, K K F F
557: R T P, C C D C F D K F D L
442: R X, B K K D K
439: X T, D K D C F
439: T U P, C C D C F D K F D L B
417: P W, C K K D
400: Q O P, C C D C F D K F
370: X U, C K K D K D
367: S R P, L K F L K B B C
352: P T R, K F B L K F L K C G B B C D C D N J B C D C D K C H B J F K K F B K K D K C G
262: R V, B B C D C
256: X Q P, K K F B K K D
244: O V V, C D C F D G
240: S Q P, C C D C F D K F D
232: O V Q, K K F B L K F L K C G B B C D C D N J B C D C D K C H B J F
226: S S P, K K F B K K D K C
213: S X, B B C
208: V S P, K K F B K K D K C G B
191: U W P, K K D K C H K K F B K K D K C G B J J J
160: O P V, K K F B L K F L K C G B B C D C D N J B C
157: P Q R, K K F B L K F L K C G B B C D C D N J B C D C D K C H B J F K K F B K K D K C G B J J C K D K C H C J F
148: O O P, K K D K D F D
145: T T, D K D F
145: O W P, K K D K C H K K F B K K D K C G
119: X P P, C K K D K D F D K
110: V T P, K F B K K D K C
108: O T W, K B L D L D H C K I C K C C C C D C F D F G D B K D K D J E B K C G J B K D K D M
95: T O P, K D K D F D
94: U Q P, C D C F F
85: Q S P, K F B K K D K C G B J J
82: O O Q, K L F L K C G C K D K C H B J B C C D C F D
82: U Q R, K K F B L K F L K C G B B C D C D N J B C D C D K C H B J F K K F B K K D K C G B J J C K D K C H C J
80: P R P, C D C F D K F D
80: P S R, K K F B L K F L K C G B B C D C D N J B C D C D K C H B J F K K F B K K D K C G B J
79: S T W, K K B L D L D H C K I C K C C C C D C F D F G D B K D K D J E B K C G J B K D K D
71: Q V Q, K K F B L K F L K C G B B C D C D N J B C D C D K C H B J F K K D K
64: P Q P, C C D C F D F
62: P U P, L K C G B C K C H F D B C C D C F D N
61: W O P, C D C F D K F
59: P W W, D H C K I C K C C C C D C F D F G D B K D K D J E B K C G J B K D K D
53: W R P, K K F B K K D K C G
52: S W P, K D K C H K K F B K K D K C G B J J J
